City,Country,Region,County, Total_Population , White , % white , Black_African , %Black African , Asian , %Asian , Other_Ethnicity , % other_Ethinic , Total_NonWhite ,% non_white
Flintshire,Wales,Wales,Clwyd," 156,355.00 "," 140,720.00 ",90%," 3,127.00 ",2%," 7,818.00 ",5%," 4,691.00 ",3%," 15,636.00 ",10%
Perth and Kinross,Scotland,Scotland,Perthshire," 155,770.00 "," 140,193.00 ",90%," 3,115.00 ",2%," 7,788.00 ",5%," 4,673.00 ",3%," 15,576.00 ",10%
Horsham,England,South East England,West Sussex," 155,246.00 "," 139,721.00 ",90%," 3,105.00 ",2%," 7,762.00 ",5%," 4,657.00 ",3%," 15,524.00 ",10%
Vale of White Horse,England,South East England,Oxfordshire," 155,051.00 "," 139,546.00 ",90%," 3,101.00 ",2%," 7,753.00 ",5%," 4,652.00 ",3%," 15,506.00 ",10%
Guildford,England,South East England,Surrey," 153,623.00 "," 125,971.00 ",82%," 3,072.00 ",2%," 15,362.00 ",10%," 9,217.00 ",6%," 27,651.00 ",18%
Cambridge,England,East of England,Cambridgeshire," 153,084.00 "," 110,220.00 ",72%," 6,123.00 ",4%," 21,432.00 ",14%," 15,308.00 ",10%," 42,863.00 ",28%
South Norfolk,England,East of England,Norfolk," 152,906.00 "," 137,615.00 ",90%," 3,058.00 ",2%," 7,645.00 ",5%," 4,587.00 ",3%," 15,290.00 ",10%
South Tyneside,England,North East England,Tyne and Wear," 152,334.00 "," 138,624.00 ",91%," 4,570.00 ",3%," 6,093.00 ",4%," 3,047.00 ",2%," 13,710.00 ",9%
Stratford-on-Avon,England,West Midlands,Warwickshire," 152,038.00 "," 141,395.00 ",93%," 1,520.00 ",1%," 6,082.00 ",4%," 3,041.00 ",2%," 10,643.00 ",7%
St Albans,England,East of England,Hertfordshire," 151,943.00 "," 121,554.00 ",80%," 4,558.00 ",3%," 16,714.00 ",11%," 9,117.00 ",6%," 30,389.00 ",20%
Dundee City,Scotland,Scotland,Angus," 150,455.00 "," 130,896.00 ",87%," 4,514.00 ",3%," 9,027.00 ",6%," 6,018.00 ",4%," 19,559.00 ",13%
Breckland,England,East of England,Norfolk," 149,172.00 "," 134,255.00 ",90%," 2,983.00 ",2%," 7,459.00 ",5%," 4,475.00 ",3%," 14,917.00 ",10%
Norwich,England,East of England,Norfolk," 149,154.00 "," 126,781.00 ",85%," 5,966.00 ",4%," 8,949.00 ",6%," 7,458.00 ",5%," 22,373.00 ",15%
South Kesteven,England,East Midlands,Lincolnshire," 149,047.00 "," 138,614.00 ",93%," 1,490.00 ",1%," 5,962.00 ",4%," 2,981.00 ",2%," 10,433.00 ",7%
Bridgend,Wales,Wales,Mid Glamorgan," 148,747.00 "," 133,872.00 ",90%," 2,975.00 ",2%," 7,437.00 ",5%," 4,462.00 ",3%," 14,874.00 ",10%
East Lindsey,England,East Midlands,Lincolnshire," 146,888.00 "," 132,199.00 ",90%," 2,938.00 ",2%," 7,344.00 ",5%," 4,407.00 ",3%," 14,689.00 ",10%
Lancaster,England,North West England,Lancashire," 146,586.00 "," 130,462.00 ",89%," 2,932.00 ",2%," 8,795.00 ",6%," 4,398.00 ",3%," 16,125.00 ",11%
Eastleigh,England,South East England,Hampshire," 146,409.00 "," 131,768.00 ",90%," 2,928.00 ",2%," 7,320.00 ",5%," 4,392.00 ",3%," 14,640.00 ",10%
Dumfries and Galloway,Scotland,Scotland,Dumfries and Galloway," 145,210.00 "," 130,689.00 ",90%," 2,904.00 ",2%," 7,260.00 ",5%," 4,356.00 ",3%," 14,520.00 ",10%
Ashford,England,South East England,Kent," 144,853.00 "," 130,368.00 ",90%," 2,897.00 ",2%," 7,243.00 ",5%," 4,346.00 ",3%," 14,486.00 ",10%
Blackpool,England,North West England,Lancashire," 144,731.00 "," 127,363.00 ",88%," 2,895.00 ",2%," 8,684.00 ",6%," 5,789.00 ",4%," 17,368.00 ",12%
Nuneaton and Bedworth,England,West Midlands,Warwickshire," 144,622.00 "," 122,929.00 ",85%," 4,339.00 ",3%," 11,570.00 ",8%," 5,785.00 ",4%," 21,694.00 ",15%
Neath Port Talbot,Wales,Wales,West Glamorgan," 144,049.00 "," 129,644.00 ",90%," 2,881.00 ",2%," 7,202.00 ",5%," 4,321.00 ",3%," 14,404.00 ",10%
Stafford,England,West Midlands,Staffordshire," 143,961.00 "," 132,444.00 ",92%," 1,440.00 ",1%," 7,198.00 ",5%," 2,879.00 ",2%," 11,517.00 ",8%
Thanet,England,South East England,Kent," 143,372.00 "," 129,035.00 ",90%," 2,867.00 ",2%," 7,169.00 ",5%," 4,301.00 ",3%," 14,337.00 ",10%
Elmbridge,England,South East England,Surrey," 143,189.00 "," 128,870.00 ",90%," 2,864.00 ",2%," 7,159.00 ",5%," 4,296.00 ",3%," 14,319.00 ",10%
Exeter,England,South West England,Devon," 142,441.00 "," 123,924.00 ",87%," 4,273.00 ",3%," 8,546.00 ",6%," 5,698.00 ",4%," 18,517.00 ",13%
Isle of Wight,England,South East England,Isle of Wight," 142,186.00 "," 135,077.00 ",95%," 1,422.00 ",1%," 2,844.00 ",2%," 2,844.00 ",2%," 7,110.00 ",5%
Kensington and Chelsea,England,Greater London,Greater London," 142,053.00 "," 88,073.00 ",62%," 7,103.00 ",5%," 11,364.00 ",8%," 35,513.00 ",25%," 53,980.00 ",38%
Wychavon,England,West Midlands,Worcestershire," 141,855.00 "," 133,344.00 ",94%," 1,419.00 ",1%," 4,256.00 ",3%," 2,837.00 ",2%," 8,512.00 ",6%
Torbay,England,South West England,Devon," 141,279.00 "," 134,215.00 ",95%," 1,413.00 ",1%," 2,826.00 ",2%," 2,826.00 ",2%," 7,065.00 ",5%
Gloucester,England,South West England,Gloucestershire," 141,062.00 "," 112,850.00 ",80%," 8,464.00 ",6%," 12,696.00 ",9%," 7,053.00 ",5%," 28,213.00 ",20%
Broadland,England,East of England,Norfolk," 141,055.00 "," 126,950.00 ",90%," 2,821.00 ",2%," 7,053.00 ",5%," 4,232.00 ",3%," 14,106.00 ",10%
Teignbridge,England,South West England,Devon," 140,869.00 "," 126,782.00 ",90%," 2,817.00 ",2%," 7,043.00 ",5%," 4,226.00 ",3%," 14,086.00 ",10%
Ipswich,England,East of England,Suffolk," 140,403.00 "," 126,363.00 ",90%," 2,808.00 ",2%," 7,020.00 ",5%," 4,212.00 ",3%," 14,040.00 ",10%
Redcar and Cleveland,England,North East England,Teesside," 140,100.00 "," 134,496.00 ",96%," 1,401.00 ",1%," 2,802.00 ",2%," 1,401.00 ",1%," 5,604.00 ",4%
Tonbridge and Malling,England,South East England,Kent," 139,460.00 "," 125,514.00 ",90%," 2,789.00 ",2%," 6,973.00 ",5%," 4,184.00 ",3%," 13,946.00 ",10%
Winchester,England,South East England,Hampshire," 139,004.00 "," 125,104.00 ",90%," 2,780.00 ",2%," 6,950.00 ",5%," 4,170.00 ",3%," 13,900.00 ",10%
Epping Forest,England,South East England,Essex," 138,963.00 "," 125,067.00 ",90%," 2,779.00 ",2%," 6,948.00 ",5%," 4,169.00 ",3%," 13,896.00 ",10%
Wrexham,Wales,Wales,Clwyd," 138,848.00 "," 124,963.00 ",90%," 2,777.00 ",2%," 6,942.00 ",5%," 4,165.00 ",3%," 13,884.00 ",10%
North Hertfordshire,England,East of England,Hertfordshire," 138,463.00 "," 124,617.00 ",90%," 2,769.00 ",2%," 6,923.00 ",5%," 4,154.00 ",3%," 13,846.00 ",10%
Test Valley,England,South East England,Hampshire," 138,259.00 "," 124,433.00 ",90%," 2,765.00 ",2%," 6,913.00 ",5%," 4,148.00 ",3%," 13,826.00 ",10%
Vale of Glamorgan,Wales,Wales,South Glamorgan," 137,945.00 "," 124,150.00 ",90%," 2,759.00 ",2%," 6,897.00 ",5%," 4,138.00 ",3%," 13,794.00 ",10%
Waverley,England,South East England,Surrey," 136,576.00 "," 122,918.00 ",90%," 2,732.00 ",2%," 6,829.00 ",5%," 4,097.00 ",3%," 13,658.00 ",10%
Powys,Wales,Wales,Powys," 135,533.00 "," 121,980.00 ",90%," 2,711.00 ",2%," 6,777.00 ",5%," 4,066.00 ",3%," 13,554.00 ",10%
Bracknell Forest,England,South East England,Berkshire," 133,565.00 "," 106,852.00 ",80%," 4,007.00 ",3%," 14,692.00 ",11%," 8,014.00 ",6%," 26,713.00 ",20%
North Ayrshire,Scotland,Scotland,Ayrshire," 133,524.00 "," 120,172.00 ",90%," 2,670.00 ",2%," 6,676.00 ",5%," 4,006.00 ",3%," 13,352.00 ",10%
Halton,England,North West England,Cheshire," 132,699.00 "," 120,756.00 ",91%," 2,654.00 ",2%," 6,635.00 ",5%," 2,654.00 ",2%," 11,943.00 ",9%
East Hampshire,England,South East England,Hampshire," 132,608.00 "," 119,347.00 ",90%," 2,652.00 ",2%," 6,630.00 ",5%," 3,978.00 ",3%," 13,260.00 ",10%
East Staffordshire,England,West Midlands,Staffordshire," 132,488.00 "," 119,239.00 ",90%," 2,650.00 ",2%," 6,624.00 ",5%," 3,975.00 ",3%," 13,249.00 ",10%
Amber Valley,England,East Midlands,Derbyshire," 132,207.00 "," 118,986.00 ",90%," 2,644.00 ",2%," 6,610.00 ",5%," 3,966.00 ",3%," 13,220.00 ",10%
Chichester,England,South East England,West Sussex," 131,388.00 "," 118,249.00 ",90%," 2,628.00 ",2%," 6,569.00 ",5%," 3,942.00 ",3%," 13,139.00 ",10%
Ashfield,England,East Midlands,Nottinghamshire," 131,052.00 "," 123,189.00 ",94%," 1,311.00 ",1%," 3,932.00 ",3%," 2,621.00 ",2%," 7,864.00 ",6%
Newark and Sherwood,England,East Midlands,Nottinghamshire," 130,132.00 "," 121,023.00 ",93%," 1,301.00 ",1%," 5,205.00 ",4%," 2,603.00 ",2%," 9,109.00 ",7%
Dartford,England,South East England,Kent," 130,124.00 "," 117,112.00 ",90%," 2,602.00 ",2%," 6,506.00 ",5%," 3,904.00 ",3%," 13,012.00 ",10%
Rushcliffe,England,East Midlands,Nottinghamshire," 130,006.00 "," 115,705.00 ",89%," 1,300.00 ",1%," 9,100.00 ",7%," 3,900.00 ",3%," 14,300.00 ",11%
Newcastle-under-Lyme,England,West Midlands,Staffordshire," 128,589.00 "," 118,302.00 ",92%," 1,286.00 ",1%," 6,429.00 ",5%," 2,572.00 ",2%," 10,287.00 ",8%
Havant,England,South East England,Hampshire," 128,076.00 "," 115,268.00 ",90%," 2,562.00 ",2%," 6,404.00 ",5%," 3,842.00 ",3%," 12,808.00 ",10%
Stroud,England,South West England,Gloucestershire," 127,751.00 "," 114,976.00 ",90%," 2,555.00 ",2%," 6,388.00 ",5%," 3,833.00 ",3%," 12,776.00 ",10%
Bassetlaw,England,East Midlands,Nottinghamshire," 127,409.00 "," 121,039.00 ",95%," 1,274.00 ",1%," 3,822.00 ",3%," 1,274.00 ",1%," 6,370.00 ",5%
Pembrokeshire,Wales,Wales,Dyfed," 126,677.00 "," 114,009.00 ",90%," 2,534.00 ",2%," 6,334.00 ",5%," 3,800.00 ",3%," 12,668.00 ",10%
Crawley,England,South East England,West Sussex," 126,608.00 "," 84,827.00 ",67%," 10,129.00 ",8%," 21,523.00 ",17%," 10,129.00 ",8%," 41,781.00 ",33%
Rugby,England,West Midlands,Warwickshire," 126,262.00 "," 106,060.00 ",84%," 2,525.00 ",2%," 11,364.00 ",9%," 6,313.00 ",5%," 20,202.00 ",16%
North Kesteven,England,East Midlands,Lincolnshire," 125,007.00 "," 112,506.00 ",90%," 2,500.00 ",2%," 6,250.00 ",5%," 3,750.00 ",3%," 12,500.00 ",10%
Welwyn Hatfield,England,East of England,Hertfordshire," 124,876.00 "," 112,388.00 ",90%," 2,498.00 ",2%," 6,244.00 ",5%," 3,746.00 ",3%," 12,488.00 ",10%
West Lancashire,England,North West England,Lancashire," 123,959.00 "," 111,563.00 ",90%," 2,479.00 ",2%," 6,198.00 ",5%," 3,719.00 ",3%," 12,396.00 ",10%
Sevenoaks,England,South East England,Kent," 123,891.00 "," 111,502.00 ",90%," 2,478.00 ",2%," 6,195.00 ",5%," 3,717.00 ",3%," 12,390.00 ",10%
West Oxfordshire,England,South East England,Oxfordshire," 123,677.00 "," 111,309.00 ",90%," 2,474.00 ",2%," 6,184.00 ",5%," 3,710.00 ",3%," 12,368.00 ",10%
Chorley,England,North West England,Lancashire," 122,794.00 "," 114,198.00 ",93%," 1,228.00 ",1%," 4,912.00 ",4%," 2,456.00 ",2%," 8,596.00 ",7%
Cheltenham,England,South West England,Gloucestershire," 122,657.00 "," 106,712.00 ",87%," 3,680.00 ",3%," 7,359.00 ",6%," 4,906.00 ",4%," 15,945.00 ",13%
South Derbyshire,England,East Midlands,Derbyshire," 122,415.00 "," 110,174.00 ",90%," 2,448.00 ",2%," 6,121.00 ",5%," 3,672.00 ",3%," 12,241.00 ",10%
Dover,England,South East England,Kent," 121,454.00 "," 109,309.00 ",90%," 2,429.00 ",2%," 6,073.00 ",5%," 3,644.00 ",3%," 12,146.00 ",10%
East Ayrshire,Scotland,Scotland,Ayrshire," 121,449.00 "," 109,304.00 ",90%," 2,429.00 ",2%," 6,072.00 ",5%," 3,643.00 ",3%," 12,144.00 ",10%
Wyre,England,North West England,Lancashire," 121,157.00 "," 109,041.00 ",90%," 2,423.00 ",2%," 6,058.00 ",5%," 3,635.00 ",3%," 12,116.00 ",10%
Gedling,England,East Midlands,Nottinghamshire," 121,133.00 "," 106,597.00 ",88%," 2,423.00 ",2%," 8,479.00 ",7%," 3,634.00 ",3%," 14,536.00 ",12%
Gwynedd,Wales,Wales,Gwynedd," 121,077.00 "," 108,969.00 ",90%," 2,422.00 ",2%," 6,054.00 ",5%," 3,632.00 ",3%," 12,108.00 ",10%
Tunbridge Wells,England,South East England,Kent," 120,817.00 "," 108,735.00 ",90%," 2,416.00 ",2%," 6,041.00 ",5%," 3,625.00 ",3%," 12,082.00 ",10%
Hinckley and Bosworth,England,East Midlands,Leicestershire," 118,556.00 "," 104,329.00 ",88%," 1,186.00 ",1%," 9,484.00 ",8%," 3,557.00 ",3%," 14,227.00 ",12%
East Lothian,Scotland,Scotland,Lothian," 117,796.00 "," 106,016.00 ",90%," 2,356.00 ",2%," 5,890.00 ",5%," 3,534.00 ",3%," 11,780.00 ",10%
South Ribble,England,North West England,Lancashire," 117,547.00 "," 105,792.00 ",90%," 2,351.00 ",2%," 5,877.00 ",5%," 3,526.00 ",3%," 11,754.00 ",10%
Scottish Borders,Scotland,Scotland,Scottish Borders," 117,450.00 "," 105,705.00 ",90%," 2,349.00 ",2%," 5,872.00 ",5%," 3,524.00 ",3%," 11,745.00 ",10%
North West Leicestershire,England,East Midlands,Leicestershire," 115,656.00 "," 104,090.00 ",90%," 1,157.00 ",1%," 6,939.00 ",6%," 3,470.00 ",3%," 11,566.00 ",10%
Fareham,England,South East England,Hampshire," 115,640.00 "," 104,076.00 ",90%," 2,313.00 ",2%," 5,782.00 ",5%," 3,469.00 ",3%," 11,564.00 ",10%
Broxtowe,England,East Midlands,Nottinghamshire," 115,512.00 "," 100,495.00 ",87%," 2,310.00 ",2%," 9,241.00 ",8%," 3,465.00 ",3%," 15,016.00 ",13%
South Staffordshire,England,West Midlands,Staffordshire," 115,499.00 "," 103,949.00 ",90%," 2,310.00 ",2%," 5,775.00 ",5%," 3,465.00 ",3%," 11,550.00 ",10%
Worthing,England,South East England,West Sussex," 115,132.00 "," 103,619.00 ",90%," 2,303.00 ",2%," 5,757.00 ",5%," 3,454.00 ",3%," 11,514.00 ",10%
Conwy,Wales,Wales,Clwyd," 114,783.00 "," 103,305.00 ",90%," 2,296.00 ",2%," 5,739.00 ",5%," 3,443.00 ",3%," 11,478.00 ",10%
Mansfield,England,East Midlands,Nottinghamshire," 114,428.00 "," 107,562.00 ",94%," 1,144.00 ",1%," 3,433.00 ",3%," 2,289.00 ",2%," 6,866.00 ",6%
Angus,Scotland,Scotland,Angus," 114,357.00 "," 102,921.00 ",90%," 2,287.00 ",2%," 5,718.00 ",5%," 3,431.00 ",3%," 11,436.00 ",10%
Erewash,England,East Midlands,Derbyshire," 114,313.00 "," 102,882.00 ",90%," 2,286.00 ",2%," 5,716.00 ",5%," 3,429.00 ",3%," 11,431.00 ",10%
Lichfield,England,West Midlands,Staffordshire," 114,160.00 "," 107,310.00 ",94%," 1,142.00 ",1%," 4,566.00 ",4%," 1,142.00 ",1%," 6,850.00 ",6%
Darlington,England,North East England,County Durham," 113,987.00 "," 102,588.00 ",90%," 2,280.00 ",2%," 5,699.00 ",5%," 3,420.00 ",3%," 11,399.00 ",10%
Mid Suffolk,England,East of England,Suffolk," 113,638.00 "," 102,274.00 ",90%," 2,273.00 ",2%," 5,682.00 ",5%," 3,409.00 ",3%," 11,364.00 ",10%
Folkestone and Hythe,England,South East England,Kent," 113,339.00 "," 102,005.00 ",90%," 2,267.00 ",2%," 5,667.00 ",5%," 3,400.00 ",3%," 11,334.00 ",10%
South Ayrshire,Scotland,Scotland,Ayrshire," 112,260.00 "," 101,034.00 ",90%," 2,245.00 ",2%," 5,613.00 ",5%," 3,368.00 ",3%," 11,226.00 ",10%
Gravesham,England,South East England,Kent," 111,642.00 "," 100,478.00 ",90%," 2,233.00 ",2%," 5,582.00 ",5%," 3,349.00 ",3%," 11,164.00 ",10%
Hertsmere,England,East of England,Hertfordshire," 111,544.00 "," 100,390.00 ",90%," 2,231.00 ",2%," 5,577.00 ",5%," 3,346.00 ",3%," 11,154.00 ",10%
Blaby,England,East Midlands,Leicestershire," 110,916.00 "," 93,169.00 ",84%," 2,218.00 ",2%," 11,092.00 ",10%," 4,437.00 ",4%," 17,747.00 ",16%
East Dunbartonshire,Scotland,Scotland,Dunbartonshire," 110,561.00 "," 99,505.00 ",90%," 2,211.00 ",2%," 5,528.00 ",5%," 3,317.00 ",3%," 11,056.00 ",10%
Watford,England,East of England,Hertfordshire," 108,967.00 "," 66,470.00 ",61%," 8,717.00 ",8%," 19,614.00 ",18%," 14,166.00 ",13%," 42,497.00 ",39%
Spelthorne,England,South East England,Surrey," 108,772.00 "," 97,895.00 ",90%," 2,175.00 ",2%," 5,439.00 ",5%," 3,263.00 ",3%," 10,877.00 ",10%
Harborough,England,East Midlands,Leicestershire," 108,457.00 "," 97,611.00 ",90%," 1,085.00 ",1%," 6,507.00 ",6%," 3,254.00 ",3%," 10,846.00 ",10%
North East Derbyshire,England,East Midlands,Derbyshire," 108,382.00 "," 97,544.00 ",90%," 2,168.00 ",2%," 5,419.00 ",5%," 3,251.00 ",3%," 10,838.00 ",10%
Rushmoor,England,South East England,Hampshire," 107,633.00 "," 96,870.00 ",90%," 2,153.00 ",2%," 5,382.00 ",5%," 3,229.00 ",3%," 10,764.00 ",10%
Worcester,England,West Midlands,Worcestershire," 107,483.00 "," 93,510.00 ",87%," 3,224.00 ",3%," 7,524.00 ",7%," 3,224.00 ",3%," 13,972.00 ",13%
Lincoln,England,East Midlands,Lincolnshire," 106,418.00 "," 91,519.00 ",86%," 3,193.00 ",3%," 7,449.00 ",7%," 4,257.00 ",4%," 14,899.00 ",14%
Chesterfield,England,East Midlands,Derbyshire," 106,411.00 "," 95,770.00 ",90%," 2,128.00 ",2%," 5,321.00 ",5%," 3,192.00 ",3%," 10,641.00 ",10%
Woking,England,South East England,Surrey," 106,218.00 "," 95,596.00 ",90%," 2,124.00 ",2%," 5,311.00 ",5%," 3,187.00 ",3%," 10,622.00 ",10%
Fenland,England,East of England,Cambridgeshire," 106,018.00 "," 95,416.00 ",90%," 2,120.00 ",2%," 5,301.00 ",5%," 3,181.00 ",3%," 10,602.00 ",10%
Tewkesbury,England,South West England,Gloucestershire," 106,001.00 "," 95,401.00 ",90%," 2,120.00 ",2%," 5,300.00 ",5%," 3,180.00 ",3%," 10,600.00 ",10%
Cannock Chase,England,West Midlands,Staffordshire," 105,611.00 "," 98,218.00 ",93%," 1,056.00 ",1%," 4,224.00 ",4%," 2,112.00 ",2%," 7,392.00 ",7%
Hart,England,South East England,Hampshire," 105,127.00 "," 94,614.00 ",90%," 2,103.00 ",2%," 5,256.00 ",5%," 3,154.00 ",3%," 10,513.00 ",10%
Wyre Forest,England,West Midlands,Worcestershire," 104,791.00 "," 98,504.00 ",94%," 1,048.00 ",1%," 3,144.00 ",3%," 2,096.00 ",2%," 6,288.00 ",6%
Eastbourne,England,South East England,East Sussex," 104,769.00 "," 94,292.00 ",90%," 2,095.00 ",2%," 5,238.00 ",5%," 3,143.00 ",3%," 10,476.00 ",10%
North Norfolk,England,East of England,Norfolk," 103,495.00 "," 93,146.00 ",90%," 2,070.00 ",2%," 5,175.00 ",5%," 3,105.00 ",3%," 10,350.00 ",10%
Bromsgrove,England,West Midlands,Worcestershire," 103,127.00 "," 96,939.00 ",94%," 1,031.00 ",1%," 4,125.00 ",4%," 1,031.00 ",1%," 6,187.00 ",6%
Lewes,England,South East England,East Sussex," 102,960.00 "," 92,664.00 ",90%," 2,059.00 ",2%," 5,148.00 ",5%," 3,089.00 ",3%," 10,296.00 ",10%
Broxbourne,England,East of England,Hertfordshire," 102,957.00 "," 92,661.00 ",90%," 2,059.00 ",2%," 5,148.00 ",5%," 3,089.00 ",3%," 10,296.00 ",10%
North Devon,England,South West England,Devon," 102,935.00 "," 92,642.00 ",90%," 2,059.00 ",2%," 5,147.00 ",5%," 3,088.00 ",3%," 10,294.00 ",10%
Midlothian,Scotland,Scotland,Lothian," 102,684.00 "," 92,416.00 ",90%," 2,054.00 ",2%," 5,134.00 ",5%," 3,081.00 ",3%," 10,269.00 ",10%
Pendle,England,North West England,Lancashire," 101,708.00 "," 91,537.00 ",90%," 2,034.00 ",2%," 5,085.00 ",5%," 3,051.00 ",3%," 10,170.00 ",10%
Burnley,England,North West England,Lancashire," 101,604.00 "," 76,203.00 ",75%," 2,032.00 ",2%," 19,305.00 ",19%," 4,064.00 ",4%," 25,401.00 ",25%
East Renfrewshire,Scotland,Scotland,Renfrewshire," 101,393.00 "," 91,254.00 ",90%," 2,028.00 ",2%," 5,070.00 ",5%," 3,042.00 ",3%," 10,140.00 ",10%
South Holland,England,East Midlands,Lincolnshire," 101,291.00 "," 91,162.00 ",90%," 2,026.00 ",2%," 5,065.00 ",5%," 3,039.00 ",3%," 10,130.00 ",10%
Great Yarmouth,England,East of England,Norfolk," 100,865.00 "," 90,778.00 ",90%," 2,017.00 ",2%," 5,043.00 ",5%," 3,026.00 ",3%," 10,086.00 ",10%
West Lindsey,England,East Midlands,Lincolnshire," 100,839.00 "," 90,755.00 ",90%," 2,017.00 ",2%," 5,042.00 ",5%," 3,025.00 ",3%," 10,084.00 ",10%
Harlow,England,South East England,Essex," 100,718.00 "," 90,646.00 ",90%," 2,014.00 ",2%," 5,036.00 ",5%," 3,022.00 ",3%," 10,072.00 ",10%
Hartlepool,England,North East England,Teesside," 99,579.00 "," 93,604.00 ",94%," 1,992.00 ",2%," 2,987.00 ",3%, 996.00 ,1%," 5,975.00 ",6%
Denbighshire,Wales,Wales,Clwyd," 99,000.00 "," 89,100.00 ",90%," 1,980.00 ",2%," 4,950.00 ",5%," 2,970.00 ",3%," 9,900.00 ",10%
Babergh,England,East of England,Suffolk," 98,818.00 "," 88,936.00 ",90%," 1,976.00 ",2%," 4,941.00 ",5%," 2,965.00 ",3%," 9,882.00 ",10%
Uttlesford,England,South East England,Essex," 97,607.00 "," 87,846.00 ",90%," 1,952.00 ",2%," 4,880.00 ",5%," 2,928.00 ",3%," 9,760.00 ",10%
Rother,England,South East England,East Sussex," 97,135.00 "," 87,422.00 ",90%," 1,943.00 ",2%," 4,857.00 ",5%," 2,914.00 ",3%," 9,714.00 ",10%
Three Rivers,England,East of England,Hertfordshire," 96,683.00 "," 87,015.00 ",90%," 1,934.00 ",2%," 4,834.00 ",5%," 2,900.00 ",3%," 9,668.00 ",10%
Staffordshire Moorlands,England,West Midlands,Staffordshire," 96,551.00 "," 86,896.00 ",90%," 1,931.00 ",2%," 4,828.00 ",5%," 2,897.00 ",3%," 9,656.00 ",10%
Surrey Heath,England,South East England,Surrey," 95,771.00 "," 86,194.00 ",90%," 1,915.00 ",2%," 4,789.00 ",5%," 2,873.00 ",3%," 9,577.00 ",10%
Monmouthshire,Wales,Wales,Gwent," 95,624.00 "," 86,062.00 ",90%," 1,912.00 ",2%," 4,781.00 ",5%," 2,869.00 ",3%," 9,562.00 ",10%
Moray,Scotland,Scotland,Moray," 95,057.00 "," 85,551.00 ",90%," 1,901.00 ",2%," 4,753.00 ",5%," 2,852.00 ",3%," 9,506.00 ",10%
Stirling,Scotland,Scotland,Stirling," 94,964.00 "," 85,468.00 ",90%," 1,899.00 ",2%," 4,748.00 ",5%," 2,849.00 ",3%," 9,496.00 ",10%
Torfaen,Wales,Wales,Gwent," 94,863.00 "," 85,377.00 ",90%," 1,897.00 ",2%," 4,743.00 ",5%," 2,846.00 ",3%," 9,486.00 ",10%
East Cambridgeshire,England,East of England,Cambridgeshire," 94,331.00 "," 84,898.00 ",90%," 1,887.00 ",2%," 4,717.00 ",5%," 2,830.00 ",3%," 9,434.00 ",10%
Runnymede,England,South East England,Surrey," 94,093.00 "," 84,684.00 ",90%," 1,882.00 ",2%," 4,705.00 ",5%," 2,823.00 ",3%," 9,410.00 ",10%
South Hams,England,South West England,Devon," 93,911.00 "," 84,520.00 ",90%," 1,878.00 ",2%," 4,696.00 ",5%," 2,817.00 ",3%," 9,391.00 ",10%
Cotswold,England,South West England,Gloucestershire," 93,139.00 "," 83,825.00 ",90%," 1,863.00 ",2%," 4,657.00 ",5%," 2,794.00 ",3%," 9,314.00 ",10%
Stevenage,England,East of England,Hertfordshire," 92,756.00 "," 66,784.00 ",72%," 7,420.00 ",8%," 11,131.00 ",12%," 7,420.00 ",8%," 25,971.00 ",28%
High Peak,England,East Midlands,Derbyshire," 92,226.00 "," 83,003.00 ",90%," 1,845.00 ",2%," 4,611.00 ",5%," 2,767.00 ",3%," 9,223.00 ",10%
Tandridge,England,South East England,Surrey," 91,750.00 "," 82,575.00 ",90%," 1,835.00 ",2%," 4,588.00 ",5%," 2,752.00 ",3%," 9,175.00 ",10%
Hastings,England,South East England,East Sussex," 91,091.00 "," 81,982.00 ",90%," 1,822.00 ",2%," 4,555.00 ",5%," 2,733.00 ",3%," 9,110.00 ",10%
Rochford,England,South East England,Essex," 91,091.00 "," 81,982.00 ",90%," 1,822.00 ",2%," 4,555.00 ",5%," 2,733.00 ",3%," 9,110.00 ",10%
Forest of Dean,England,South West England,Gloucestershire," 91,003.00 "," 81,903.00 ",90%," 1,820.00 ",2%," 4,550.00 ",5%," 2,730.00 ",3%," 9,100.00 ",10%
Castle Point,England,South East England,Essex," 90,969.00 "," 81,872.00 ",90%," 1,819.00 ",2%," 4,548.00 ",5%," 2,729.00 ",3%," 9,096.00 ",10%
Mole Valley,England,South East England,Surrey," 88,989.00 "," 80,090.00 ",90%," 1,780.00 ",2%," 4,449.00 ",5%," 2,670.00 ",3%," 8,899.00 ",10%
West Dunbartonshire,Scotland,Scotland,Dunbartonshire," 88,941.00 "," 80,047.00 ",90%," 1,779.00 ",2%," 4,447.00 ",5%," 2,668.00 ",3%," 8,894.00 ",10%
Redditch,England,West Midlands,Worcestershire," 88,293.00 "," 75,932.00 ",86%," 1,766.00 ",2%," 7,063.00 ",8%," 3,532.00 ",4%," 12,361.00 ",14%
Argyll and Bute,Scotland,Scotland,Argyll," 87,654.00 "," 78,889.00 ",90%," 1,753.00 ",2%," 4,383.00 ",5%," 2,630.00 ",3%," 8,766.00 ",10%
Fylde,England,North West England,Lancashire," 87,412.00 "," 78,671.00 ",90%," 1,748.00 ",2%," 4,371.00 ",5%," 2,622.00 ",3%," 8,741.00 ",10%
